"make","model","colour","capacity","network","grade","condition","count"
"Acer","LIQUID JADE Z","Black","8GB","Unlocked","Insurance Grade","Brand New",98
"Acer","LIQUID S1","Black","8GB","EE Network","Not Graded","Non-working - Need Battery",99
"Acer","LIQUID S1","Black","8GB","EE Network","Not Graded","Non-working - Need Battery",100
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",101
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",102
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B B2B","Working",103
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Working",104
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",105
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",106
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Working",107
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",108
"Acer","LIQUID Z110","White","Not Applicable","Unlocked","Grade C - Acceptable Condition","Non-working - Need Repair - Software",109
"Acer","LIQUID Z110","White","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",110
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",111
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",112
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",113
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Working",114
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",115
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",116
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",117
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",118
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Insurance Grade","Brand New",119
"Acer","LIQUID Z110","White","Not Applicable","Unlocked","Insurance Grade","Brand New",120
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B B2B","Working",121
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Non-working - Need Battery",122
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade A - Very Good Condition","Working",123
"Acer","LIQUID Z110","Black","Not Applicable","Unlocked","Grade B - Good Condition","Working",124
"Acer","liquid z2","Black","2GB","Unlocked","Working",125
"Acer","liquid z2","Black","2GB","Unlocked","Grade A - Very Good Condition","Working",126
"Acer","liquid z2","White","2GB","Unlocked","Grade A - Very Good Condition","Working",127
"Acer","liquid z2","Grade B - Good Condition","2GB","Black","Unlocked",128
"Acer","liquid z2","Black","2GB","Unlocked","Grade A - Very Good Condition","Working",129
"Acer","liquid z2","Black","2GB","Unlocked","Grade B - Good Condition","Working",130
"Acer","liquid z2","Black","2GB","Unlocked","Grade A - Very Good Condition","Working",131
"Acer","liquid z2","Black","2GB","Unlocked","Grade A - Very Good Condition","Working",132
"Acer","liquid z2","Black","2GB","Unlocked","Grade C - Acceptable Condition","Working",133
"Acer","LIQUID Z200","Black","4GB","EE Network","Not Graded","Non-working - Need Battery",134
"Acer","LIQUID Z220","Black","8GB","Unlocked","Grade A - Very Good Condition","Working",135
"Acer","LIQUID Z220","Black",""8GB",Unlocked","Grade C - Acceptable Condition","Working",136
"Acer","LIQUID Z220","White","8GB","EE Network","Not Graded","Non-working - Need Battery",137
"Acer","LIQUID Z220","White","8GB","EE Network","Not Graded","Non-working - Need Battery",138
"Acer","LIQUID Z220","White","8GB","EE Network","Not Graded","Non-working - Need Battery",139
"Acer","liquid z4","Black","4GB","Unlocked","Grade A - Very Good Condition","Working",140
"Acer","liquid z4","Black","4GB","Unlocked","Grade A - Very Good Condition","Working",141
"Acer","liquid z4","Black","4GB","Unlocked","Insurance Grade","Brand New",142
"Acer","liquid z4","Black","4GB","Unlocked","Insurance Grade","Brand New",143
"Acer","liquid z4","Black","4GB","Unlocked","Grade B - Good Condition","Working",144
"Acer","liquid z4","Black","4GB","Unlocked","Grade A - Very Good Condition","Working",145
"Acer","liquid z4","Black","4GB","Unlocked","Not Graded","Working",146
"Acer","liquid z4","White","4GB","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",147
"Acer","liquid z4","White","4GB","Damaged","Grade B - Good Condition","Non-working - Need Battery",148
"Acer","liquid z4","Black","4GB","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",149
"Acer","liquid z4","Pink","4GB","Damaged","Unknown","Non-working",150
"Acer","liquid z4","Pink","4GB","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",151
"Acer","liquid z4","Black","4GB","Unlocked","Grade A - Very Good Condition","Non-working - Need Battery",152
"Acer","LIQUID Z410","Black","8GB","EE Network","Not Graded","Non-working - Need Battery",153
"Acer","LIQUID Z410","Black","8GB","EE Network","Not Graded","Non-working - Need Battery",154
"Acer","LIQUID Z5","Grey","4GB","Unlocked","Grade A - Very Good Condition","Working",155
"Acer","LIQUID Z5","Black","4GB","Unlocked","Insurance Grade","Brand New",156
"Acer","LIQUID Z5","White","4GB","Unlocked","Insurance Grade","Brand New",157
"Acer","LIQUID Z5","White","4GB","Unlocked","Insurance Grade","Brand New",158
"Acer","Liquid Z5 Duo","Grey","4GB","Unlocked","Working - Minor Issue",159
"Acer","LIQUID Z500","Silver","4GB","Unlocked","Grade A - Very Good Condition","Working",160
"Acer","LIQUID Z500","Silver","4GB","Unlocked","Grade A - Very Good Condition","Non-working",161
"Acer","LIQUID Z500","Black","4GB","Unlocked","Grade C - Acceptable Condition","Working",162
"Acer","P223W - MONITOR","Black",""Not Applicable",Not Applicable","Grade B - Good Condition","Working",163
"Acer","V173 MONITOR","Black",""Not Applicable",Not Applicable","Grade B - Good Condition","Working",164
"Acer","V173 MONITOR","Black",""Not Applicable",Not Applicable","Grade B - Good Condition","Working",165
"Acer","V193HQV","Black",""Not Applicable",Not Applicable","Grade B - Good Condition","Working",166
"Acer","V193HQV","Black",""Not Applicable",Not Applicable","Grade B - Good Condition","Working",167

